prefix,number_of_sites,backing_prefix
2600:9000:a616::/48,20,2600:9000:a600::/43
2600:9000:a617::/48,20,2600:9000:a600::/43
2600:9000:a618::/48,20,2600:9000:a600::/43
2600:9000:a619::/48,20,2600:9000:a600::/43
2600:9000:a61a::/48,20,2600:9000:a600::/43
2600:9000:a61b::/48,20,2600:9000:a600::/43
2600:9000:a61c::/48,20,2600:9000:a600::/43
2600:9000:a703::/48,20,2600:9000:a700::/43
2600:9000:a704::/48,20,2600:9000:a700::/43
2600:9000:a706::/48,20,2600:9000:a700::/43
2600:9000:a707::/48,20,2600:9000:a700::/43
2600:9000:a708::/48,20,2600:9000:a700::/43
2600:9000:a70a::/48,20,2600:9000:a700::/43
2600:9000:a70d::/48,20,2600:9000:a700::/43
2600:9000:a70e::/48,20,2600:9000:a700::/43
2600:9000:a712::/48,20,2600:9000:a700::/43
2600:9000:a715::/48,20,2600:9000:a700::/43
2600:9000:a716::/48,20,2600:9000:a700::/43
2600:9000:a717::/48,20,2600:9000:a700::/43
2600:9000:a718::/48,20,2600:9000:a700::/43
2600:9000:a719::/48,20,2600:9000:a700::/43
2600:9000:a71b::/48,20,2600:9000:a700::/43
2600:9000:a71d::/48,20,2600:9000:a700::/43
2600:9000:a71f::/48,21,2600:9000:a700::/43
2600::/48,2,2600::/48
2602:2c9::/48,3,2602:2c9::/37
2602:2d5:f0::/48,2,2602:2d5:f0::/48
2602:2d5:f1::/48,2,2602:2d5:f1::/48
2602:800:9007::/48,2,2602:800:9007::/48
2602:801:c00a::/48,11,2602:801:c00a::/48
2602:801:c00b::/48,11,2602:801:c00b::/48
2602:801:c00c::/48,11,2602:801:c00c::/48
2602:808:4002::/48,3,2602:808:4002::/48
2602:80b:7000::/48,5,2602:80b:7000::/44
2602:80c:cf::/48,27,2602:80c:cf::/48
2602:fab0:20::/48,6,2602:fab0:20::/48
2602:fb67::/48,2,2602:fb67::/48
2602:fbaf::/48,10,2602:fbaf::/48
2602:fbaf:f02::/48,4,2602:fbaf:f02::/48
2602:fbd4:1::/48,3,2602:fbd4::/36
2602:fbd4:2::/48,3,2602:fbd4::/36
2602:fbd4::/48,3,2602:fbd4::/36
2602:fc09:950::/48,2,2602:fc09:950::/44
2602:fc22::/48,2,2602:fc22::/36
2602:fc64:a000::/48,3,2602:fc64:a000::/48
2602:fc64:a001::/48,2,2602:fc64:a001::/48
2602:fc91:163::/48,7,2602:fc91:163::/48
2602:fd50:f::/48,6,2602:fd50:f::/48
2602:fea2:2::/48,26,2602:fea2:2::/48
2602:fea2:3::/48,3,2602:fea2:3::/48
2602:fea7:f00::/48,3,2602:fea7:f00::/40
2602:fed2:7119::/48,5,2602:fed2:7119::/48
2602:feda:b9f::/48,5,2602:feda:b9f::/48
2602:ffe2:100::/48,3,2602:ffe2:100::/48
2602:ffe2:10::/48,4,2602:ffe2:10::/48
2602:ffe2:53::/48,4,2602:ffe2:53::/48
2602:ffe2:54::/48,4,2602:ffe2:54::/48
2602:ffe2:99::/48,3,2602:ffe2:99::/48
2602:ffe2:ffe::/48,4,2602:ffe2:ffe::/48
2603:1030:13::/48,25,2603:1000::/25
2603:1030:a0b::/48,13,2603:1000::/25
2603:1030:a0c::/48,11,2603:1000::/25
2603:1063:2000::/48,20,2603:1000::/25
2603:1063:27::/48,27,2603:1000::/25
2603:5:2100::/48,8,2603:5:2100::/44
2603:5:2110::/48,8,2603:5:2110::/44
2603:5:2111::/48,8,2603:5:2110::/44
2603:5:2120::/48,8,2603:5:2120::/44
2603:5:2121::/48,8,2603:5:2120::/44
2603:5:2122::/48,8,2603:5:2120::/44
2603:5:2123::/48,8,2603:5:2120::/44
2603:5:2124::/48,8,2603:5:2120::/44
2603:5:2125::/48,8,2603:5:2120::/44
2603:5:2130::/48,8,2603:5:2130::/44
2603:5:2131::/48,8,2603:5:2130::/44
2603:5:2132::/48,8,2603:5:2130::/44
2603:5:2133::/48,8,2603:5:2130::/44
2603:5:2134::/48,8,2603:5:2130::/44
2603:5:2140::/48,8,2603:5:2140::/44
2603:5:2141::/48,8,2603:5:2140::/44
2603:5:2142::/48,8,2603:5:2140::/44
2603:5:2143::/48,8,2603:5:2140::/44
2603:5:2150::/48,8,2603:5:2150::/44
2603:5:2151::/48,8,2603:5:2150::/44
2603:5:2152::/48,8,2603:5:2150::/44
2603:5:2153::/48,8,2603:5:2150::/44
2603:5:2154::/48,8,2603:5:2150::/44
2603:5:2160::/48,8,2603:5:2160::/44
2603:5:2161::/48,8,2603:5:2160::/44
2603:5:2162::/48,8,2603:5:2160::/44
2603:5:2164::/48,8,2603:5:2160::/44
